Nome;T. Treino;T. Teste;Transações Bloqueadas;% Tran. Bloq. Corretamente;% Tran. Bloq. Incorretamente;auc
XGBoost, Oversampling Missing;0.796113;2.404649;3437;84.434100;15.565900;0.821136
XGBoost, Oversampling Missing;0.764616;2.429891;3437;84.405004;15.594996;0.820864
XGBoost, Oversampling Missing;0.729116;2.418088;3443;84.112692;15.887308;0.818690
XGBoost, Oversampling Missing;0.863658;2.415689;3426;84.208990;15.791010;0.818013
XGBoost, Oversampling Missing;0.754113;2.352262;3449;84.111337;15.888663;0.819233
XGBoost, Oversampling Missing;0.755641;2.362335;3431;84.436024;15.563976;0.820593
XGBoost, Oversampling Missing;0.912635;2.421268;3433;84.299447;15.700553;0.819506
XGBoost, Oversampling Missing;0.765119;2.397217;3428;84.597433;15.402567;0.821816
XGBoost, Oversampling Missing;0.824131;2.457942;3447;83.753989;16.246011;0.815701
XGBoost, Oversampling Missing;0.710127;2.359259;3455;83.965268;16.034732;0.818417
XGBoost, Oversampling Missing;0.696591;2.398578;3445;84.092888;15.907112;0.818690
XGBoost, Oversampling Missing;0.776606;2.409398;3418;84.640140;15.359860;0.821274
XGBoost, Oversampling Missing;0.765605;2.374774;3426;84.559253;15.440747;0.821273
XGBoost, Oversampling Missing;0.819187;2.371243;3445;84.063861;15.936139;0.818418
XGBoost, Oversampling Missing;0.797918;2.361873;3433;84.299447;15.700553;0.819506
XGBoost, Oversampling Missing;0.771137;2.479373;3431;84.406878;15.593122;0.820321
XGBoost, Oversampling Missing;0.823347;2.447959;3440;84.215116;15.784884;0.819369
XGBoost, Oversampling Missing;0.963217;2.388184;3447;84.305193;15.694807;0.820863
XGBoost, Oversampling Missing;0.814092;2.380789;3429;84.368621;15.631379;0.819778
XGBoost, Oversampling Missing;0.782305;2.421823;3476;84.148446;15.851554;0.822082
XGBoost, Oversampling Missing;0.839649;2.463896;3431;84.319440;15.680560;0.819506
XGBoost, Oversampling Missing;0.815223;2.510889;3423;84.487292;15.512708;0.820322
XGBoost, Oversampling Missing;0.804207;2.784009;3451;83.917705;16.082295;0.817602
XGBoost, Oversampling Missing;0.706003;2.495102;3442;84.137130;15.862870;0.818826
XGBoost, Oversampling Missing;0.831503;2.448997;3433;84.445092;15.554908;0.820864
XGBoost, Oversampling Missing;0.942637;2.619804;3423;84.458078;15.541922;0.820051
XGBoost, Oversampling Missing;0.925591;2.745991;3443;84.490270;15.509730;0.822222
XGBoost, Oversampling Missing;0.873534;2.464823;3414;84.651435;15.348565;0.821002
XGBoost, Oversampling Missing;0.878647;2.683416;3453;84.187663;15.812337;0.820319
XGBoost, Oversampling Missing;0.862880;2.591315;3412;84.466589;15.533411;0.819101
LGBM, Oversampling Missing;0.135513;0.416090;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.228043;2.176929;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.153053;0.439209;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.140989;0.423954;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.157017;0.454831;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.125400;0.436631;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.162681;0.455736;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.157060;0.471322;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.141022;0.470894;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.141424;0.469918;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.172687;0.486506;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.157059;0.454833;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.172691;0.454797;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.156545;0.454833;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.157061;0.439198;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.140925;0.455260;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.158708;0.455252;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.156669;0.455346;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.141021;0.454826;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.156663;0.470914;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.203956;0.549007;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.250796;0.514079;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.187750;0.470440;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.172743;0.502117;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.156661;0.361103;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.141030;0.439554;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.141434;0.439179;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.141029;0.423406;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.172691;0.486436;3391;84.783250;15.216750;0.820054
LGBM, Oversampling Missing;0.141032;0.392291;3391;84.783250;15.216750;0.820054